02055,65495,00551,57824,65479,65515,00033,65509,65371,65443,
02059,65509,00554,57888,65479,65514,00038,65509,65371,65443,
02068,65498,00534,57824,65478,65516,00029,65511,65373,65437,
02059,65506,00561,57824,65482,65516,00032,65512,65366,65438,
02055,65506,00553,57856,65480,65515,00026,65517,65373,65437,
02055,65506,00556,57824,65484,65514,00024,65514,65370,65440,
02055,65508,00546,57824,65485,65514,00027,65512,65364,65440,
02070,65501,00540,57824,65486,65513,00019,65510,65372,65440,
02061,65497,00549,57824,65480,65515,00023,65516,65372,65440,
02058,65500,00549,57824,65484,65513,00011,65510,65370,65444,
02063,65490,00542,57856,65484,65516,00010,65515,65371,65443,
02056,65493,00561,57824,65486,65515,00003,65510,65372,65438,
02066,65495,00558,57856,65483,65513,00005,65512,65372,65438,
02068,65492,00546,57824,65482,65516,65535,65515,65367,65437,
02064,65495,00538,57824,65486,65518,00004,65515,65377,65435,
02056,65501,00543,57856,65485,65518,65535,65511,65371,65437,
02054,65489,00562,57824,65489,65517,00000,65517,65375,65435,
02055,65520,00553,57824,65488,65517,00001,65510,65372,65442,
02063,65520,00559,57824,65484,65515,00004,65512,65368,65442,
02056,65516,00558,57792,65485,65514,00006,65513,65367,65437,
02047,65530,00557,57824,65484,65509,00011,65518,65370,65442,
02061,65517,00560,57824,65483,65513,00015,65510,65370,65440,
02057,65503,00562,57824,65483,65508,00014,65513,65369,65441,
02062,65501,00540,57856,65485,65511,00018,65515,65369,65439,
02059,65503,00535,57824,65482,65510,00012,65515,65367,65443,
02041,65506,00541,57824,65484,65509,00020,65515,65373,65439,
02061,65473,00532,57824,65485,65519,00006,65507,65373,65443,
02069,65482,00560,57856,65486,65518,00006,65515,65371,65437,
02050,65478,00553,57856,65486,65518,00001,65523,65371,65435,
02060,65482,00532,57824,65490,65518,00004,65513,65369,65437,
02068,65486,00542,57856,65486,65519,65532,65511,65367,65437,
02065,65488,00556,57856,65489,65519,65534,65519,65369,65439,
02063,65501,00540,57856,65488,65517,65534,65518,65370,65436,
02075,65504,00552,57824,65486,65517,65534,65520,65372,65436,
02056,65529,00524,57856,65491,65504,65510,65513,65369,65441,
02095,65530,00421,57824,65487,65495,65529,65516,65372,65438,
02100,65524,00376,57824,65478,65491,00009,65521,65373,65441,
02089,65503,00367,57856,65467,65493,00041,65519,65373,65435,
02134,65461,00331,57824,65453,65487,00065,65521,65369,65435,
02085,65399,00332,57824,65452,65482,00083,65516,65370,65434,
02152,65402,00396,57856,65449,65475,00086,65517,65373,65439,
02152,65440,00380,57824,65453,65470,00084,65510,65372,65438,
02161,65465,00415,57856,65452,65466,00066,65517,65375,65441,
02142,65426,00419,57824,65454,65461,00069,65512,65372,65442,
02152,65412,00437,57824,65455,65456,00044,65514,65368,65432,
02181,65389,00420,57824,65460,65451,00049,65520,65370,65436,
02128,65443,00417,57824,65469,65439,00028,65514,65368,65434,
02126,65422,00467,57824,65453,65435,00026,65515,65369,65437,
02131,65347,00477,57824,65434,65431,00028,65518,65376,65438,
02218,65410,00472,57824,65439,65423,00027,65515,65371,65439,
02203,65403,00495,57824,65438,65404,00035,65518,65370,65436,
02217,65361,00430,57856,65439,65430,00021,65515,65369,65437,
02060,65308,00654,57824,65463,65450,00017,65510,65370,65440,
02288,65434,00499,57856,65433,65412,00022,65514,65368,65438,
